sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,116,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,117,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,118,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,119,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,120,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,121,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,DSLD,Migration,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM05,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,195,MNP,MNP_Portout
dbx:CerillionBahamasOracle,GMPP,Migration,WorkOrder_Flow
dbx:CerillionBahamasOracle,196,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,197,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM06,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PI01,MNP,MNP_Portout
dbx:CerillionBahamasOracle,PO03,MNP,MNP_Portout
dbx:CerillionBahamasOracle,PO04,MNP,MNP_Portout
dbx:CerillionBahamasOracle,PO01,MNP,MNP_Portout
dbx:CerillionBahamasOracle,PO02,MNP,MNP_Portout
dbx:CerillionBahamasOracle,PO05,MNP,MNP_Portout
dbx:CerillionBahamasOracle,FX50,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV02,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T02R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T02P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV03,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T03R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T03P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV04,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T04R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,T04P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV05,Change,WorkOrder_Flow
